"lane.1","lane.2","lane.3","lane.4"
17,27,20,19
42,51,49,72
32,39,28,42
54,67,56,74
179,198,222,211
25,21,19,28
19,28,19,35
27,19,19,26
51,45,55,61
18,23,34,28
20,21,18,16
17,20,28,18
25,26,32,44
39,51,61,67
31,29,31,38
14,23,18,30
25,25,35,32
24,30,31,28
21,28,30,35
27,15,18,24
35,20,26,25
123,141,138,148
44,52,59,61
140,141,123,166
22,31,22,29
44,31,41,56
20,22,20,35
19,20,17,32
21,27,21,28
22,32,32,38
24,19,17,32
26,24,15,29
24,23,27,26
23,19,18,31
27,35,34,42
23,17,32,23
30,42,37,43
27,40,25,40
41,51,27,47
28,17,21,30
33,36,37,35
18,22,29,37
56,67,58,48
49,48,57,55
15,25,18,37
32,31,40,29
75,61,68,106
25,33,28,32
39,34,38,52
30,30,30,36
23,22,28,37
19,30,29,20
21,23,15,17
31,36,37,35
30,33,23,38
28,34,41,41
22,24,20,19
23,27,23,28
26,42,25,36
65,46,62,68
36,53,40,46
25,20,16,19
24,23,22,28
36,22,32,37
27,20,13,26
15,18,12,28
30,18,21,23
21,29,21,43
38,43,42,35
423,366,377,464
21,21,25,36
32,39,46,31
14,19,17,18
38,42,28,46
59,54,58,83
47,55,66,55
38,36,26,34
208,176,199,221
32,18,25,22
35,21,22,34
104,89,101,95
18,26,19,25
33,40,32,28
29,22,36,35
42,46,42,67
21,18,19,38
20,22,36,42
50,48,50,83
14,29,20,22
50,54,57,53
170,157,132,173
401,420,446,533
19,21,16,34
23,21,23,19
20,24,28,19
55,75,46,71
62,56,51,62
20,21,37,20
20,27,26,24
72,76,74,97
57,55,41,50
33,32,29,38
33,34,28,38
28,24,24,28
44,40,41,48
248,227,211,270
20,24,22,18
36,27,31,38
30,26,29,40
36,47,29,41
20,26,24,34
24,19,20,17
70,52,54,66
20,29,22,26
18,27,22,29
32,20,29,32
25,20,25,18
29,18,21,30
40,43,33,40
42,40,28,47
22,22,29,29
20,34,23,31
67,65,59,64
68,64,63,54
90,96,77,104
65,50,44,54
17,28,19,26
34,37,36,44
25,23,14,24
15,41,36,28
24,19,20,34
18,24,24,28
28,44,31,46
31,29,36,29
112,126,101,132
24,22,31,24
33,18,32,29
14,21,15,26
32,37,38,41
27,36,22,28
27,27,28,26
16,21,22,25
13,18,27,29
65,62,75,83
204,204,180,220
18,15,24,35
29,26,23,23
13,19,18,19
18,23,17,32
39,34,23,53
21,20,21,20
19,20,30,29
80,78,68,103
19,23,22,24
24,29,28,38
19,21,28,25
18,14,21,26
12,22,29,22
36,32,25,31
18,24,20,32
33,19,22,34
24,16,30,30
21,17,21,20
44,38,37,53
19,20,20,22
293,330,298,368
22,22,29,29
123,118,130,136
33,21,21,26
21,18,25,34
29,28,23,44
27,24,26,35
24,19,26,23
20,16,20,29
25,26,26,23
26,31,20,24
43,47,42,43
35,33,34,44
30,33,27,31
27,22,12,40
26,37,34,29
31,22,24,14
25,26,33,34
27,37,27,30
27,38,28,41
62,61,57,66
45,48,47,77
113,126,115,145
37,36,28,48
24,20,26,22
34,36,28,47
22,21,20,29
40,37,25,34
29,24,18,30
20,21,24,16
29,34,22,37
21,31,21,30
28,27,28,47
23,28,30,34
25,22,19,29
79,80,71,70
59,45,50,53
14,19,19,22
24,22,27,28
30,39,26,44
33,60,43,50
33,36,25,32
24,38,24,38
28,31,38,32
38,26,25,38
54,36,43,49
19,23,17,30
19,35,34,44
33,26,36,40
52,52,43,56
20,31,35,31
37,26,29,30
40,38,43,54
24,15,16,24
26,41,43,46
26,22,20,19
23,19,19,20
27,28,27,34
34,29,23,32
21,26,21,36
35,49,44,53
52,54,67,68
31,24,16,38
21,29,23,25
26,22,32,37
36,35,34,52
28,20,24,29
134,164,130,162
31,20,30,37
48,56,54,72
117,98,128,138
30,36,41,43
21,27,26,26
35,33,29,32
24,23,26,35
36,25,19,30
34,41,48,37
95,94,87,106
46,41,63,60
18,17,19,22
31,19,24,20
27,23,29,43
26,27,24,40
20,21,31,22
29,32,18,36
347,377,337,438
21,29,27,22
19,22,17,24
24,20,20,31
30,15,25,26
29,24,18,40
27,22,24,23
21,17,24,26
18,13,13,29
30,22,17,23
18,26,28,25
31,30,30,31
19,26,29,29
25,28,22,24
29,24,20,31
127,114,138,184
27,16,22,35
36,36,41,48
31,30,29,23
15,18,27,25
48,44,39,43
31,25,19,30
50,53,34,62
36,42,32,49
35,26,21,22
22,27,26,40
19,15,27,32
30,24,23,22
27,25,28,32
25,19,20,26
48,34,34,42
24,17,23,22
49,48,54,54
33,31,38,37
19,25,24,19
26,29,30,34
64,46,57,68
55,40,51,56
34,32,23,28
40,38,36,44
23,23,23,30
22,28,27,26
25,15,15,29
31,27,37,48
28,22,27,25
24,23,24,32
23,24,22,23
33,35,29,34
25,25,21,28
23,26,16,18
45,37,43,49
41,35,41,50
18,23,30,25
73,53,61,90
57,60,61,73
50,48,65,78
20,20,27,24
29,31,23,35
31,33,22,34
17,26,17,24
35,37,33,49
21,24,39,26
34,39,30,35
20,21,21,16
14,19,16,34
62,63,57,53
24,27,19,23
49,37,38,55
25,11,19,25
37,20,33,32
32,26,31,31
20,22,30,26
25,24,26,34
34,27,41,50
19,23,16,34
17,14,22,30
18,19,28,20
65,48,39,64
24,18,30,35
29,25,29,32
23,17,21,23
27,27,29,12
40,39,46,56
22,36,40,40
19,30,22,30
21,15,23,32
21,20,36,23
1128,1063,1104,1300
164,189,154,180
33,29,24,22
35,31,33,47
16,22,31,32
25,16,10,19
54,47,53,68
50,35,41,53
14,17,20,22
41,46,42,44
37,48,36,53
29,27,28,29
54,56,63,58
21,21,19,28
15,18,26,34
38,34,43,47
21,21,26,20
45,53,51,56
33,26,27,44
21,16,28,23
21,23,20,36
39,35,28,22
31,28,26,32
26,22,22,23
58,52,50,54
28,21,29,29
37,36,32,47
118,96,110,144
20,21,17,35
33,27,32,34
2945,2931,2946,3626
41,38,34,47
22,30,29,40
22,26,15,25
21,18,13,32
38,37,38,34
19,35,29,29
21,18,25,36
61,61,66,68
39,27,30,31
65,45,46,60
16,26,28,23
45,63,59,53
17,17,22,32
21,18,28,40
28,41,36,28
21,27,31,29
55,49,56,70
35,38,28,37
39,38,47,46
20,21,28,43
40,33,19,38
28,31,28,37
23,25,26,38
57,50,62,60
2327,2382,2305,2839
27,26,22,14
78,79,80,126
37,30,34,44
11,17,16,25
21,24,24,31
52,40,36,49
29,48,28,35
36,35,35,32
26,21,21,32
45,68,52,55
17,20,18,20
17,23,21,22
23,30,29,29
44,61,56,64
20,24,28,29
48,41,51,60
25,24,24,36
31,27,30,35
27,21,22,23
27,20,24,30
23,30,28,30
35,18,23,28
22,34,31,42
35,58,55,54
211,238,199,264
90,89,84,102
17,16,24,20
25,16,23,29
61,68,49,65
37,25,31,25
25,15,42,40
18,20,22,41
16,15,23,24
142,152,153,160
402,375,375,469
14,28,25,30
38,38,45,56
33,32,24,38
40,47,47,37
28,33,30,29
16,29,29,30
26,34,29,31
45,42,56,41
26,20,16,26
21,22,20,16
55,71,75,84
22,16,15,25
31,25,20,36
24,18,24,25
26,22,29,24
44,46,44,66
26,23,16,18
250,253,281,307
48,40,41,50
21,26,15,26
26,33,30,38
20,36,35,50
42,61,45,48
16,14,26,30
27,39,32,36
86,97,103,126
46,36,43,46
17,21,15,20
26,32,40,34
22,25,31,32
45,47,52,47
32,30,22,34
66,73,74,82
16,22,16,19
80,79,81,107
18,25,24,35
39,38,25,43
27,39,29,46
27,29,23,41
32,39,34,48
54,60,66,88
21,23,17,25
23,11,25,28
20,30,13,31
67,81,73,78
92,71,90,102
28,43,25,30
34,25,23,20
20,43,29,31
24,29,24,31
23,21,23,38
35,34,39,58
163,199,191,244
28,22,23,23
14,20,24,30
28,16,22,25
28,26,31,30
18,17,17,25
17,35,33,26
38,37,52,60
28,23,24,38
17,21,19,34
23,28,18,31
20,17,11,28
44,37,54,44
20,17,21,30
22,26,19,28
32,26,27,37
21,14,23,22
25,25,15,29
35,39,44,34
35,25,30,34
32,21,21,32
28,30,33,42
16,25,26,29
46,36,45,60
38,43,32,44
21,30,17,25
29,24,34,30
31,23,32,37
20,37,24,44
79,90,91,103
29,25,15,36
28,27,27,22
26,25,19,29
26,28,20,25
45,36,44,49
30,42,34,35
28,25,26,22
36,35,34,54
21,18,28,34
16,21,27,26
40,38,46,52
18,19,22,29
53,46,46,55
21,38,28,25
490,533,493,606
27,32,28,38
19,23,17,22
33,34,36,29
41,39,38,48
21,35,31,36
19,25,25,25
22,32,25,36
70,57,68,91
21,23,17,14
296,314,270,353
56,64,64,73
16,31,31,43
37,33,21,28
17,19,21,31
19,21,22,19
28,25,37,29
38,34,24,32
23,26,28,24
49,52,48,43
19,16,20,19
17,23,22,24
31,21,32,23
24,21,11,24
32,27,31,44
24,25,25,31
53,34,42,53
27,23,27,34
32,27,17,34
62,69,70,91
138,114,109,167
22,28,18,25
26,29,18,23
24,15,14,20
45,32,50,52
18,29,15,20
21,25,36,28
21,19,28,14
28,29,38,36
24,24,12,16
19,23,25,32
46,38,52,52
41,42,28,43
25,25,24,30
16,13,21,24
33,18,28,32
46,47,39,59
37,39,36,36
25,17,27,25
31,16,32,32
17,29,20,22
19,26,21,34
33,26,44,35
23,31,26,46
20,28,19,20
23,25,23,30
57,72,64,66
121,114,112,164
30,21,30,29
22,19,21,32
31,22,26,32
30,30,28,30
38,41,31,40
91,74,85,121
20,26,24,25
46,42,50,65
40,26,28,38
31,26,32,40
27,22,29,37
21,24,27,29
21,23,30,29
29,33,37,28
27,17,27,31
23,25,25,40
36,36,44,31
43,38,53,48
120,106,114,127
34,40,39,42
30,36,29,37
26,28,21,26
28,29,42,44
26,22,40,44
18,21,26,25
16,20,21,26
40,47,38,46
71,74,80,90
29,21,15,18
28,32,40,30
21,23,32,37
23,12,21,20
25,43,40,37
19,20,17,29
82,88,86,114
20,25,25,30
19,19,21,31
27,25,35,32
29,29,37,47
17,19,29,31
30,20,16,25
36,36,36,48
33,29,34,32
57,73,64,79
24,16,24,16
24,19,12,37
22,25,24,31
19,37,34,31
34,38,37,36
18,21,28,22
643,602,593,744
324,336,295,343
59,45,42,49
35,34,28,25
45,54,33,44
28,43,40,34
20,20,16,18
39,36,39,52
25,24,19,25
17,33,20,22
78,68,65,72
40,36,27,43
18,16,26,22
24,29,25,22
14,22,15,20
33,28,31,38
32,31,20,37
33,42,37,40
17,22,15,32
29,38,28,31
18,16,22,20
27,22,27,18
15,16,25,28
27,28,24,34
29,30,27,34
24,44,48,43
25,33,26,40
18,30,27,24
31,21,20,30
17,19,15,28
36,27,40,46
44,20,27,40
26,19,20,14
83,84,79,97
51,66,57,55
78,79,71,88
29,28,25,46
28,29,38,52
29,30,35,35
40,39,38,42
30,24,16,23
19,24,22,28
29,33,33,28
22,26,31,40
43,56,50,61
21,18,27,24
34,15,25,26
23,28,30,30
44,35,36,54
34,35,48,50
27,29,28,17
30,29,23,47
28,18,25,36
29,27,23,36
24,23,28,30
20,24,17,16
48,36,41,47
26,18,40,43
20,23,27,36
44,38,42,53
29,32,31,29
35,30,22,38
64,48,39,50
54,47,38,48
19,20,11,29
18,24,27,32
45,41,35,25
23,20,30,26
34,29,30,29
21,17,24,18
55,58,45,66
36,27,29,37
20,27,22,26
33,38,31,52
23,20,22,28
37,39,43,28
56,69,38,67
22,23,31,29
73,81,64,82
37,20,29,47
23,26,18,26
24,23,25,22
20,30,27,30
55,59,61,67
54,41,43,60
16,25,12,23
38,39,57,41
23,31,32,35
28,25,25,42
38,23,20,23
35,25,25,41
70,69,71,92
19,26,25,28
17,30,36,23
23,24,12,30
25,25,27,41
28,28,33,34
33,24,32,36
29,48,33,48
46,34,41,41
31,27,29,32
38,29,18,30
69,90,89,114
109,127,118,145
32,36,37,37
107,100,101,156
21,16,28,30
21,17,24,24
24,23,22,24
22,20,20,30
23,17,22,34
65,82,77,96
35,45,45,48
23,29,34,30
27,21,30,31
30,23,28,31
17,23,23,31
25,16,30,25
30,29,17,22
19,29,31,30
29,22,23,18
31,23,19,20
27,24,39,35
34,23,24,31
20,22,21,32
76,70,55,82
25,30,39,34
20,32,31,35
31,34,38,31
64,77,82,74
21,17,31,22
17,23,19,40
24,28,24,29
21,18,25,25
25,19,20,20
37,38,33,37
76,62,51,78
42,38,29,40
17,26,22,28
91,111,93,134
64,74,60,62
37,42,35,44
97,100,89,132
23,19,19,29
56,57,58,92
32,27,32,34
28,20,15,34
15,19,18,43
19,27,29,37
39,30,20,43
32,29,24,35
36,32,37,28
21,11,17,29
24,34,25,44
24,19,17,29
34,25,30,36
29,35,36,40
35,33,24,34
24,18,27,25
27,29,36,38
25,12,26,23
57,43,36,60
81,74,69,95
38,32,38,56
24,17,21,28
34,22,23,26
34,40,48,50
27,25,32,35
24,17,20,18
28,33,21,37
24,23,21,26
27,23,31,43
20,18,22,32
75,83,83,104
22,19,19,24
23,24,20,29
26,23,19,25
33,27,37,25
49,47,40,41
41,44,51,47
49,25,33,60
22,27,24,34
21,26,31,30
20,16,25,32
45,47,40,37
36,24,46,40
30,27,24,24
25,24,24,24
19,20,19,25
29,28,26,26
34,30,27,38
20,22,19,18
25,17,24,29
39,29,27,52
55,43,46,64
32,24,37,31
19,28,36,35
30,33,26,42
20,19,27,35
105,104,118,116
32,44,35,43
32,26,34,32
37,23,36,36
48,69,71,64
32,28,33,41
30,21,26,25
44,32,22,41
53,55,39,58
38,37,37,43
23,24,26,31
37,26,20,35
21,24,22,26
20,29,17,37
16,35,14,23
23,25,19,28
15,19,20,28
39,33,41,42
34,21,24,41
26,31,19,19
30,18,20,31
295,257,302,371
16,30,32,36
14,30,19,28
21,19,24,20
29,28,22,42
33,37,40,54
16,24,23,29
32,31,32,34
115,105,125,140
29,24,26,36
173,185,161,206
39,39,30,37
27,29,39,36
49,44,55,50
48,50,47,52
33,26,18,23
27,18,21,28
13,21,17,28
47,49,39,55
45,37,47,43
26,42,39,44
176,173,189,190
20,19,27,25
25,21,27,29
18,20,21,32
32,27,28,41
23,15,18,10
49,40,42,43
22,17,24,28
27,23,25,29
59,77,55,88
28,26,23,30
57,46,49,48
18,18,14,29
19,23,21,31
25,19,38,35
26,37,42,37
24,19,26,35
21,24,28,23
51,44,42,79
23,18,18,41
19,20,25,28
33,20,18,17
19,26,40,16
41,67,78,73
11,13,31,28
26,24,32,32
36,31,50,42
23,28,27,32
16,24,28,25
35,38,29,31
45,52,59,53
27,18,25,26
20,21,18,30
33,31,34,55
32,30,37,41
52,51,59,67
18,17,25,25
84,85,92,102
434,430,462,545
28,22,17,36
20,31,15,34
39,44,35,68
47,52,56,49
24,20,18,24
23,32,29,42
25,32,25,26
31,23,26,28
26,26,26,37
215,224,253,280
82,59,59,83
31,42,38,46
46,35,56,66
22,32,23,29
23,22,23,31
25,34,24,29
24,26,22,32
28,31,31,41
22,27,32,31
20,34,22,28
16,27,25,19
23,29,28,24
23,21,28,34
22,24,25,25
65,83,74,104
34,34,30,35
18,26,20,20
23,13,20,37
27,21,22,19
22,19,30,38
27,40,37,34
15,20,18,26
30,32,43,49
31,34,33,48
19,24,24,34
26,21,19,26
35,34,35,43
14,20,19,34
456,473,446,554
14,32,17,18
29,24,30,35
50,42,49,50
18,26,14,23
23,21,20,22
31,28,34,25
30,36,39,43
33,26,21,22
29,25,21,31
23,22,43,42
101,118,110,124
24,30,21,38
24,29,32,36
30,26,27,35
23,36,26,34
33,32,18,35
33,38,45,44
40,42,33,60
18,19,24,30
123,119,122,160
25,33,32,35
152,129,131,166
26,33,28,28
106,97,110,96
47,53,56,60
29,26,21,24
29,18,26,20
19,22,14,24
43,44,39,48
205,221,206,250
43,37,51,49
33,41,31,46
50,35,38,47
41,54,52,55
20,13,27,18
40,31,27,26
26,30,38,34
44,43,39,55
5620,5554,5728,6748
30,21,28,34
14,27,23,24
24,18,21,30
18,21,29,28
59,70,72,78
19,23,28,31
28,22,37,44
31,52,41,60
33,31,30,37
20,31,33,36
48,55,55,60
65,80,61,108
19,23,24,24
88,89,102,95
20,21,20,26
19,20,36,35
38,41,38,46
35,14,31,35
36,40,38,50
44,59,54,50
20,32,18,30
23,30,21,25
21,26,27,26
51,37,39,49
23,22,16,23
14,14,22,31
21,39,21,28
28,36,26,26
24,22,27,35
21,22,24,19
17,13,23,32
48,36,55,56
14,26,28,32
36,31,32,35
22,23,19,29
32,25,24,36
13,26,24,30
36,28,35,38
24,24,19,23
27,29,25,26
28,30,30,46
20,18,30,24
32,15,16,29
177,171,172,187
48,43,48,56
57,38,65,82
