"sample1.1","sample1.2","sample1.3","sample2.1","sample2.2","sample2.3"
0,0,0,0,0,2
0,18,14,0,10,4
3,4,0,4,0,0
83,100,128,7,5,4
0,1,0,0,0,0
3,8,14,0,0,2
26,30,27,28,28,22
0,0,0,0,0,0
2085,561,2932,68,57,75
40,35,57,35,17,35
13,13,14,11,12,8
479,400,580,393,356,712
3,0,0,1,4,0
101,96,35,291,193,385
3,7,1,7,5,4
844,1203,1067,173,107,118
582,628,582,1379,897,1006
59,8,20,3,2,11
22,12,13,1354,2707,1209
0,0,0,0,0,0
4,6,6,5,6,4
187,44,95,83,180,136
0,0,0,0,0,0
104,164,152,58,191,44
136,1591,97,3,87,95
0,1,1,1,0,0
65,106,48,153,186,75
4871,2622,1569,452,2050,10
0,0,0,2,1,3
85,108,85,21,56,40
400,1753,1586,350,303,250
35,51,41,159,119,60
7,3,11,10,27,6
0,1,0,1,0,2
0,0,1,0,0,0
2,3,7,1,4,2
169,62,64,41,116,138
109,166,97,46,119,130
151,102,334,613,835,295
93,18,439,10,353,682
601,1596,41,485,757,639
0,2,0,0,0,0
92,81,64,51,73,37
11,12,5,30,34,16
108,99,108,78,86,69
63,19,2,12,1,27
1335,1365,1394,2381,1779,1184
546,43,2,80,596,26
85,43,46,20,58,49
155,109,1810,1400,310,1212
65,73,54,64,0,16
439,544,602,417,327,452
1,0,2,35,42,35
2965,4855,1804,75,31,34
108,95,245,347,116,230
10,8,6,76,51,40
0,0,0,0,0,0
101,165,89,90,110,130
352,410,450,426,390,336
12,42,22,20,24,15
7702,6928,6434,369,537,445
14,20,7,4,7,7
111,100,42,113,97,180
17,22,2,6,16,7
2,1,0,1,1,2
0,0,0,0,0,0
19,38,14,14,29,26
0,0,0,0,0,0
50,855,316,343,1145,454
0,0,0,0,0,0
1,2,2,0,1,2
1864,1923,1746,1846,1533,1864
41,103,83,115,74,239
1,2,1,3,0,1
92,127,69,907,892,436
5,6,3,1,1,1
20,13,20,2306,1457,1478
25,22,8,31,9,14
88,155,187,142,69,141
12,12,4,10,14,27
23,45,59,29,25,24
134,119,122,31,288,116
91,67,52,80,111,72
415,10,184,3,219,58
0,1,0,0,0,0
0,0,0,0,0,0
15,14,17,2647,1977,3453
1,0,7,2,0,3
39,201,138,109,223,331
9,29,9,11,17,6
218,1190,1103,2209,1121,353
199,194,271,88,289,179
35,8,40,27,40,21
23,36,41,19,18,27
28,20,27,12,23,22
0,0,0,0,0,0
0,0,0,0,0,0
50,160,64,9,29,84
829,1268,1180,375,831,1652
795,1125,810,998,958,859
122,422,258,222,100,176
77,61,20,6,66,47
192,196,311,150,182,300
29,18,12,5,44,14
63,23,69,45,143,81
46,209,158,50,163,269
1,0,0,0,0,1
602,669,1231,1990,1115,608
7048,5501,969,466,452,1357
538,1602,1698,552,555,1543
14,11,16,13,25,6
0,0,0,0,0,0
29,2,12,121,6,20
83,30,47,65,17,32
0,1,0,0,1,0
15,23,27,14,21,20
2,1,0,0,0,0
0,0,0,0,0,0
488,477,293,259,288,591
0,0,0,0,0,0
657,1234,2151,1606,1307,1260
1650,2288,1240,59,1314,1290
11,98,81,32,120,4
58,72,67,64,68,67
3,1,0,0,0,0
280,42,371,407,323,504
72,89,58,211,268,282
0,0,0,0,0,0
143,167,122,176,152,161
0,0,0,3,0,0
224,100,323,395,199,75
22,20,9,17,45,17
511,399,401,123,101,356
1,3,6,2,0,9
3,4,1,2,2,4
103,96,44,83,45,97
481,602,328,39,35,61
0,0,1,0,0,3
10,11,23,16,10,24
1089,782,1295,232,290,346
277,158,313,92,25,5
687,112,1372,204,58,386
2596,3395,1938,65,51,21
2,2,0,0,1,6
6,11,5,13,9,7
157,174,207,125,113,228
881,36,110,19,1016,1399
269,286,372,22,343,269
78,168,113,258,207,176
0,0,0,0,0,0
375,484,566,516,361,549
24,43,6,21,20,53
0,1,0,0,0,4
119,260,475,239,108,230
1905,2361,2119,2175,2115,1969
39,2,270,199,7,42
88,66,50,3,2,3
280,237,394,314,406,366
